  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,     P-335,   2017/08/14 15:51:02,           1-01,       1,       -19.979,      -154.850,         21130,      -1,    1,                                        ,                                        ,                 H2O, 1502747767.54,         0.167,         0.394,        59.965,        -0.001,         0.001,         1.407,        96.922,        42.103,         1.139,        70.571,         0.866,        -0.607,       -0.0000,       -0.0000,    0,        44.562,         1,       1,       1, DGK Test1,       0
     2,     P-335,   2017/08/14 15:59:58,           1-01,       2,       -20.334,      -158.352,         18520,      -1,    1,                                        ,                                        ,                 H2O, 1502748304.24,         0.203,         0.364,        56.403,        -0.000,         0.002,         1.345,        83.096,        36.990,         1.007,        60.590,         0.863,        -0.798,       -0.0000,       -0.0000,    0,        44.500,         1,       1,       1, DGK Test1,       0
     3,     P-335,   2017/08/14 16:08:55,           1-01,       3,       -20.411,      -159.125,         18280,      -1,    1,                                        ,                                        ,                 H2O, 1502748840.40,         0.214,         0.382,        56.950,        -0.001,         0.002,         1.350,        81.993,        36.220,         0.975,        59.527,         0.864,        -0.847,        0.0000,        0.0000,    0,        44.500,         1,       1,       1, DGK Test1,       0
     4,     P-335,   2017/08/14 16:17:52,           1-01,       4,       -20.349,      -158.671,         18864,       0,    1,                                        ,                                        ,                 H2O, 1502749377.35,         0.197,         0.379,        56.454,        -0.001,         0.002,         1.338,        84.866,        37.021,         1.041,        63.429,         0.864,        -0.611,        0.0000,        0.0000,    0,        44.438,         1,       1,       1, DGK Test1,       0
     5,     P-335,   2017/08/14 16:26:49,           1-01,       5,       -20.407,      -159.225,         18256,       0,    1,                                        ,                                        ,                 H2O, 1502749915.00,         0.185,         0.418,        55.614,        -0.001,         0.001,         1.326,        81.742,        35.955,         1.008,        60.822,         0.863,        -0.671,        0.0000,        0.0000,    0,        44.500,         1,       1,       1, DGK Test1,       0
     6,     P-335,   2017/08/14 16:35:46,           1-01,       6,       -20.383,      -159.239,         18479,       0,    1,                                        ,                                        ,                 H2O, 1502750452.46,         0.182,         0.380,        55.498,        -0.000,         0.001,         1.317,        82.875,        36.508,         1.002,        61.278,         0.862,        -0.760,       -0.0000,       -0.0000,    0,        44.500,         1,       1,       1, DGK Test1,       0
     7,     P-335,   2017/08/14 16:44:43,           1-01,       7,       -20.321,      -158.868,         19446,       0,    1,                                        ,                                        ,                 H2O, 1502750988.95,         0.208,         0.352,        57.366,        -0.001,         0.001,         1.360,        87.644,        38.188,         1.117,        66.853,         0.863,        -0.307,       -0.0000,       -0.0000,    0,        44.500,         1,       1,       1, DGK Test1,       0
     8,     P-335,   2017/08/14 16:53:40,           1-01,       8,       -20.451,      -159.885,         17908,       0,    1,                                        ,                                        ,                 H2O, 1502751525.54,         0.213,         0.394,        54.937,        -0.000,         0.002,         1.309,        79.804,        35.918,         0.956,        58.211,         0.864,        -0.775,        0.0000,        0.0000,    0,        44.688,         1,       1,       1, DGK Test1,       0
     9,     P-335,   2017/08/14 17:02:36,           1-01,       9,       -20.464,      -160.035,         17883,       0,    1,                                        ,                                        ,                 H2O, 1502752061.96,         0.178,         0.408,        54.484,        -0.000,         0.001,         1.300,        79.985,        34.929,         0.973,        59.137,         0.863,        -0.791,       -0.0000,       -0.0000,    0,        44.562,         1,       1,       1, DGK Test1,       0
    10,     P-335,   2017/08/14 17:11:33,           1-01,      10,       -20.479,      -160.046,         17854,       0,    1,                                        ,                                        ,                 H2O, 1502752598.43,         0.177,         0.353,        54.547,        -0.001,         0.002,         1.308,        79.566,        35.321,         0.974,        59.327,         0.863,        -0.604,        0.0000,        0.0000,    0,        44.625,         1,       1,       1, DGK Test1,       0
