  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,      P-74,   2016/07/20 13:43:27,           1-01,       1,       -15.699,      -118.345,         19429,      -1,    1,                                        ,                                        ,                 H2O, 1469044113.10,         0.190,         0.378,        63.872,        -0.000,         0.002,         1.506,        87.432,        37.867,         1.045,        65.282,         0.865,        -0.861,       -0.0000,       -0.0000,    0,        49.000,         1,       1,       1, DGK Test1,       0
     2,      P-74,   2016/07/20 13:53:18,           1-01,       2,       -15.730,      -118.380,         19548,      -1,    1,                                        ,                                        ,                 H2O, 1469044703.83,         0.185,         0.354,        64.207,        -0.000,         0.002,         1.514,        88.002,        37.854,         1.066,        66.390,         0.866,        -0.692,       -0.0000,       -0.0000,    0,        48.688,         1,       1,       1, DGK Test1,       0
     3,      P-74,   2016/07/20 14:03:08,           1-01,       3,       -15.732,      -118.444,         19348,      -1,    1,                                        ,                                        ,                 H2O, 1469045294.09,         0.205,         0.374,        62.766,        -0.000,         0.001,         1.489,        86.947,        37.976,         1.054,        64.047,         0.866,        -0.953,        0.0000,        0.0000,    0,        48.688,         1,       1,       1, DGK Test1,       0
     4,      P-74,   2016/07/20 14:12:58,           1-01,       4,       -15.740,      -118.414,         19575,       0,    1,                                        ,                                        ,                 H2O, 1469045883.81,         0.203,         0.416,        64.179,        -0.000,         0.003,         1.514,        87.844,        38.494,         1.092,        66.247,         0.865,        -0.646,       -0.0000,       -0.0000,    0,        48.750,         1,       1,       1, DGK Test1,       0
     5,      P-74,   2016/07/20 14:22:47,           1-01,       5,       -15.759,      -118.495,         19165,       0,    1,                                        ,                                        ,                 H2O, 1469046473.72,         0.189,         0.348,        63.402,        -0.001,         0.002,         1.494,        85.981,        37.464,         1.029,        63.715,         0.866,        -0.912,       -0.0000,       -0.0000,    0,        48.688,         1,       1,       1, DGK Test1,       0
     6,      P-74,   2016/07/20 14:32:38,           1-01,       6,       -15.735,      -118.458,         19415,       0,    1,                                        ,                                        ,                 H2O, 1469047063.63,         0.183,         0.411,        63.434,        -0.000,         0.002,         1.495,        87.041,        37.961,         1.095,        65.893,         0.866,        -0.726,       -0.0000,       -0.0000,    0,        48.750,         1,       1,       1, DGK Test1,       0
     7,      P-75,   2016/07/20 14:42:28,           1-02,       1,       -15.772,      -116.183,         19567,      -1,    1,                                        ,                                        ,                 H2O, 1469047653.66,         0.209,         0.375,        63.751,        -0.001,         0.001,         1.503,        87.924,        38.124,         1.087,        66.390,         0.866,        -0.797,        0.0000,        0.0000,    0,        48.812,         1,       2,       1, DGK Test1,       0
     8,      P-75,   2016/07/20 14:52:19,           1-02,       2,       -15.732,      -116.132,         19195,      -1,    1,                                        ,                                        ,                 H2O, 1469048244.98,         0.175,         0.393,        62.261,        -0.001,         0.002,         1.478,        86.047,        37.701,         1.043,        63.817,         0.866,        -0.898,        0.0000,        0.0000,    0,        48.875,         1,       2,       1, DGK Test1,       0
     9,      P-75,   2016/07/20 15:02:10,           1-02,       3,       -15.779,      -116.176,         19298,      -1,    1,                                        ,                                        ,                 H2O, 1469048835.58,         0.179,         0.370,        64.831,        -0.000,         0.001,         1.544,        86.458,        37.964,         1.062,        64.666,         0.867,        -0.829,       -0.0000,       -0.0000,    0,        48.875,         1,       2,       1, DGK Test1,       0
    10,      P-75,   2016/07/20 15:12:01,           1-02,       4,       -15.774,      -116.021,         19336,       0,    1,                                        ,                                        ,                 H2O, 1469049426.39,         0.196,         0.381,        63.161,        -0.001,         0.002,         1.497,        86.651,        37.804,         1.074,        65.253,         0.867,        -0.744,       -0.0000,       -0.0000,    0,        48.875,         1,       2,       1, DGK Test1,       0
