  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
2,     P-234,   2017/01/26 19:49:51,           1-59,1,-29.334,-231.477,17807,-1,1,                                        ,                                        ,                 H2O,1485485691,0.194,0.359,40.138,0,0.001,0.958,78.847,35.578,0.944,56.214,0.866,-0.895,0,0,0,47,1,59,2, DGK Test1,0
3,     P-234,   2017/01/26 19:58:46,           1-59,2,-29.529,-234.973,17457,-1,1,                                        ,                                        ,                 H2O,1485486227,0.177,0.46,40.941,0,0.006,0.981,76.995,34.819,0.909,55.372,0.867,-0.828,0,0,0,46.5,1,59,2, DGK Test1,0
4,     P-234,   2017/01/26 20:07:41,           1-59,3,-29.565,-235.548,17498,-1,1,                                        ,                                        ,                 H2O,1485486762,0.186,0.381,42.499,0,0.004,1.019,77.186,34.763,0.904,56.061,0.862,-0.718,0,0,0,46.125,1,59,2, DGK Test1,0
5,     P-234,   2017/01/26 20:16:36,           1-59,4,-29.596,-235.865,17789,0,1,                                        ,                                        ,                 H2O,1485487297,0.186,0.38,42.546,0,0.003,1.014,78.689,35.292,0.934,57.143,0.863,-0.767,0,0,0,45.125,1,59,2, DGK Test1,0
6,     P-234,   2017/01/26 20:25:31,           1-59,5,-29.584,-235.838,17438,0,1,                                        ,                                        ,                 H2O,1485487832,0.187,0.399,44.04,-0.001,0.003,1.055,76.63,34.937,0.927,56.345,0.863,-0.52,0,0,0,44.812,1,59,2, DGK Test1,0
7,     P-234,   2017/01/26 20:34:25,           1-59,6,-29.595,-236.181,17660,0,1,                                        ,                                        ,                 H2O,1485488367,0.19,0.41,43.04,-0.001,0.002,1.032,77.943,35.541,0.903,55.514,0.863,-0.853,0,0,0,44.562,1,59,2, DGK Test1,0
8,     P-234,   2017/01/26 20:43:20,           1-59,7,-29.589,-236.183,17623,0,1,                                        ,                                        ,                 H2O,1485488902,0.186,0.353,45.277,0,0.001,1.08,77.854,35.129,0.896,55.996,0.862,-0.915,0,0,0,44.5,1,59,2, DGK Test1,0
9,     P-234,   2017/01/26 20:52:15,           1-59,8,-29.613,-236.235,17682,0,1,                                        ,                                        ,                 H2O,1485489438,0.16,0.415,43.752,0,0.003,1.044,78.098,35.352,0.915,56.135,0.862,-0.86,0,0,0,44.5,1,59,2, DGK Test1,0
10,     P-234,   2017/01/26 21:01:10,           1-59,9,-29.624,-236.314,17599,0,1,                                        ,                                        ,                 H2O,1485489972,0.175,0.406,44.256,0,0.003,1.062,77.634,35.348,0.91,55.696,0.862,-0.882,0,0,0,44.5,1,59,2, DGK Test1,0
11,     P-234,   2017/01/26 21:10:04,           1-59,10,-29.613,-236.309,17726,0,1,                                        ,                                        ,                 H2O,1485490507,0.196,0.368,45.251,0,0.001,1.08,78.261,35.419,0.913,56.807,0.862,-0.746,0,0,0,44.562,1,59,2, DGK Test1,0
12,     P-234,   2017/01/26 21:19:00,           1-59,11,-29.609,-236.317,17668,0,1,                                        ,                                        ,                 H2O,1485491042,0.186,0.421,44.707,0,0.004,1.067,78.015,35.182,0.93,56.504,0.862,-0.806,0,0,0,44.5,1,59,2, DGK Test1,0
13,     P-234,   2017/01/26 21:27:55,           1-59,12,-29.634,-236.349,17679,0,1,                                        ,                                        ,                 H2O,1485491578,0.193,0.424,44.223,0,0.002,1.055,77.967,35.299,0.942,56.895,0.862,-0.671,0,0,0,44.438,1,59,2, DGK Test1,0
14,     P-234,   2017/01/26 21:36:50,           1-59,13,-29.626,-236.358,17667,0,1,                                        ,                                        ,                 H2O,1485492114,0.176,0.373,43.62,0,0.002,1.04,78.06,35.153,0.905,56.293,0.863,-0.762,0,0,0,44.5,1,59,2, DGK Test1,0
