  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,     P-445,   2018/09/14 09:50:28,         Ink-01,       1,       -15.126,      -118.544,         17529,      -1,    1,                                        ,                                        ,                 H2O, 1536940534.34,         0.204,         0.404,        49.247,         0.000,         0.000,         1.183,        79.655,        34.259,         0.960,        58.819,         0.865,        -0.767,        0.0000,        0.0000,    0,        43.312,       Ink,       1,       1,  DGK_norm,       0
     2,     P-445,   2018/09/14 09:59:22,         Ink-01,       2,       -15.082,      -118.301,         17940,      -1,    1,                                        ,                                        ,                 H2O, 1536941067.21,         0.183,         0.366,        50.442,        -0.000,         0.000,         1.211,        81.702,        35.188,         1.002,        60.044,         0.866,        -0.743,       -0.0000,       -0.0000,    0,        43.000,       Ink,       1,       1,  DGK_norm,       0
     3,     P-445,   2018/09/14 10:08:15,         Ink-01,       3,       -15.089,      -118.199,         18164,      -1,    1,                                        ,                                        ,                 H2O, 1536941601.12,         0.192,         0.420,        52.881,        -0.000,         0.001,         1.269,        82.813,        35.323,         1.023,        61.999,         0.866,        -0.551,        0.0000,        0.0000,    0,        42.938,       Ink,       1,       1,  DGK_norm,       0
     4,     P-445,   2018/09/14 10:17:09,         Ink-01,       4,       -15.104,      -118.317,         18186,       0,    1,                                        ,                                        ,                 H2O, 1536942134.18,         0.186,         0.397,        53.556,        -0.000,         0.001,         1.286,        83.073,        35.455,         0.991,        60.985,         0.866,        -0.833,       -0.0000,       -0.0000,    0,        43.062,       Ink,       1,       1,  DGK_norm,       0
     5,     P-445,   2018/09/14 10:26:01,         Ink-01,       5,       -15.097,      -118.198,         18165,       0,    1,                                        ,                                        ,                 H2O, 1536942667.42,         0.184,         0.362,        55.023,        -0.001,         0.000,         1.320,        83.124,        35.347,         0.989,        59.985,         0.867,        -0.905,       -0.0000,       -0.0000,    0,        43.125,       Ink,       1,       1,  DGK_norm,       0
     6,     P-445,   2018/09/14 10:34:55,         Ink-01,       6,       -15.119,      -118.356,         18105,       0,    1,                                        ,                                        ,                 H2O, 1536943200.18,         0.177,         0.398,        55.375,         0.000,         0.000,         1.321,        82.583,        35.419,         1.009,        60.645,         0.866,        -0.801,       -0.0000,       -0.0000,    0,        43.250,       Ink,       1,       1,  DGK_norm,       0
     7,     P-445,   2018/09/14 10:43:48,         Ink-01,       7,       -15.134,      -118.286,         18179,       0,    1,                                        ,                                        ,                 H2O, 1536943733.86,         0.184,         0.405,        56.691,        -0.000,         0.000,         1.359,        82.991,        35.494,         0.992,        60.961,         0.867,        -0.746,       -0.0000,       -0.0000,    0,        43.375,       Ink,       1,       1,  DGK_norm,       0
     8,     P-445,   2018/09/14 10:52:42,         Ink-01,       8,       -15.140,      -118.265,         18203,       0,    1,                                        ,                                        ,                 H2O, 1536944267.35,         0.183,         0.375,        56.853,         0.000,         0.000,         1.363,        83.295,        35.436,         0.968,        60.163,         0.867,        -0.896,       -0.0000,       -0.0000,    0,        43.312,       Ink,       1,       1,  DGK_norm,       0
     9,     P-445,   2018/09/14 11:01:35,         Ink-01,       9,       -15.135,      -118.267,         18125,       0,    1,                                        ,                                        ,                 H2O, 1536944800.46,         0.205,         0.364,        57.154,        -0.001,        -0.000,         1.370,        82.760,        35.111,         1.019,        61.108,         0.867,        -0.691,        0.0000,        0.0000,    0,        43.312,       Ink,       1,       1,  DGK_norm,       0
    10,     P-445,   2018/09/14 11:10:29,         Ink-01,      10,       -15.120,      -118.275,         18124,       0,    1,                                        ,                                        ,                 H2O, 1536945334.31,         0.216,         0.417,        57.458,        -0.001,         0.001,         1.373,        82.784,        35.692,         0.981,        59.274,         0.865,        -0.995,       -0.0000,       -0.0000,    0,        43.438,       Ink,       1,       1,  DGK_norm,       0
