  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,     P-233,   2017/01/26 19:40:13,         Ink-01,       1,       -15.839,      -125.199,         17435,      -1,    1,                                        ,                                        ,                 H2O, 1485485115.90,         0.188,         0.386,        37.870,        -0.001,        -0.001,         0.900,        76.808,        34.687,         0.952,        57.282,         0.862,        -0.870,       -0.0000,       -0.0000,    0,        46.000,       Ink,       1,       1,Picarro Rinse,       0
     2,     P-234,   2017/01/26 19:49:51,           1-59,       1,       -29.334,      -231.477,         17807,      -1,    1,                                        ,                                        ,                 H2O, 1485485691.10,         0.194,         0.359,        40.138,         0.000,         0.001,         0.958,        78.847,        35.578,         0.944,        56.214,         0.866,        -0.895,       -0.0000,       -0.0000,    0,        47.000,         1,      59,       2, DGK Test1,       0
     3,     P-234,   2017/01/26 19:58:46,           1-59,       2,       -29.529,      -234.973,         17457,      -1,    1,                                        ,                                        ,                 H2O, 1485486226.77,         0.177,         0.460,        40.941,        -0.000,         0.006,         0.981,        76.995,        34.819,         0.909,        55.372,         0.867,        -0.828,       -0.0000,       -0.0000,    0,        46.500,         1,      59,       2, DGK Test1,       0
     4,     P-234,   2017/01/26 20:07:41,           1-59,       3,       -29.565,      -235.548,         17498,      -1,    1,                                        ,                                        ,                 H2O, 1485486762.38,         0.186,         0.381,        42.499,        -0.000,         0.004,         1.019,        77.186,        34.763,         0.904,        56.061,         0.862,        -0.718,       -0.0000,       -0.0000,    0,        46.125,         1,      59,       2, DGK Test1,       0
     5,     P-234,   2017/01/26 20:16:36,           1-59,       4,       -29.596,      -235.865,         17789,       0,    1,                                        ,                                        ,                 H2O, 1485487297.20,         0.186,         0.380,        42.546,        -0.000,         0.003,         1.014,        78.689,        35.292,         0.934,        57.143,         0.863,        -0.767,       -0.0000,       -0.0000,    0,        45.125,         1,      59,       2, DGK Test1,       0
     6,     P-234,   2017/01/26 20:25:31,           1-59,       5,       -29.584,      -235.838,         17438,       0,    1,                                        ,                                        ,                 H2O, 1485487831.69,         0.187,         0.399,        44.040,        -0.001,         0.003,         1.055,        76.630,        34.937,         0.927,        56.345,         0.863,        -0.520,        0.0000,        0.0000,    0,        44.812,         1,      59,       2, DGK Test1,       0
     7,     P-234,   2017/01/26 20:34:25,           1-59,       6,       -29.595,      -236.181,         17660,       0,    1,                                        ,                                        ,                 H2O, 1485488367.17,         0.190,         0.410,        43.040,        -0.001,         0.002,         1.032,        77.943,        35.541,         0.903,        55.514,         0.863,        -0.853,       -0.0000,       -0.0000,    0,        44.562,         1,      59,       2, DGK Test1,       0
     8,     P-234,   2017/01/26 20:43:20,           1-59,       7,       -29.589,      -236.183,         17623,       0,    1,                                        ,                                        ,                 H2O, 1485488902.19,         0.186,         0.353,        45.277,        -0.000,         0.001,         1.080,        77.854,        35.129,         0.896,        55.996,         0.862,        -0.915,        0.0000,        0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
     9,     P-234,   2017/01/26 20:52:15,           1-59,       8,       -29.613,      -236.235,         17682,       0,    1,                                        ,                                        ,                 H2O, 1485489437.83,         0.160,         0.415,        43.752,        -0.000,         0.003,         1.044,        78.098,        35.352,         0.915,        56.135,         0.862,        -0.860,       -0.0000,       -0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
    10,     P-234,   2017/01/26 21:01:10,           1-59,       9,       -29.624,      -236.314,         17599,       0,    1,                                        ,                                        ,                 H2O, 1485489972.29,         0.175,         0.406,        44.256,         0.000,         0.003,         1.062,        77.634,        35.348,         0.910,        55.696,         0.862,        -0.882,       -0.0000,       -0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
    11,     P-234,   2017/01/26 21:10:04,           1-59,      10,       -29.613,      -236.309,         17726,       0,    1,                                        ,                                        ,                 H2O, 1485490507.12,         0.196,         0.368,        45.251,        -0.000,         0.001,         1.080,        78.261,        35.419,         0.913,        56.807,         0.862,        -0.746,       -0.0000,       -0.0000,    0,        44.562,         1,      59,       2, DGK Test1,       0
    12,     P-234,   2017/01/26 21:19:00,           1-59,      11,       -29.609,      -236.317,         17668,       0,    1,                                        ,                                        ,                 H2O, 1485491042.34,         0.186,         0.421,        44.707,         0.000,         0.004,         1.067,        78.015,        35.182,         0.930,        56.504,         0.862,        -0.806,        0.0000,        0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
    13,     P-234,   2017/01/26 21:27:55,           1-59,      12,       -29.634,      -236.349,         17679,       0,    1,                                        ,                                        ,                 H2O, 1485491577.53,         0.193,         0.424,        44.223,        -0.000,         0.002,         1.055,        77.967,        35.299,         0.942,        56.895,         0.862,        -0.671,       -0.0000,       -0.0000,    0,        44.438,         1,      59,       2, DGK Test1,       0
    14,     P-234,   2017/01/26 21:36:50,           1-59,      13,       -29.626,      -236.358,         17667,       0,    1,                                        ,                                        ,                 H2O, 1485492113.59,         0.176,         0.373,        43.620,         0.000,         0.002,         1.040,        78.060,        35.153,         0.905,        56.293,         0.863,        -0.762,       -0.0000,       -0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
    15,     P-234,   2017/01/26 21:45:44,           1-59,      14,       -29.628,      -236.397,         17591,       0,    1,                                        ,                                        ,                 H2O, 1485492647.80,         0.192,         0.409,        45.084,        -0.000,         0.003,         1.075,        77.467,        35.385,         0.935,        56.166,         0.862,        -0.752,        0.0000,        0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
    16,     P-234,   2017/01/26 21:54:39,           1-59,      15,       -29.643,      -236.423,         17628,       0,    1,                                        ,                                        ,                 H2O, 1485493183.44,         0.184,         0.370,        43.742,        -0.001,         0.002,         1.044,        77.661,        35.252,         0.913,        56.766,         0.862,        -0.627,       -0.0000,       -0.0000,    0,        44.438,         1,      59,       2, DGK Test1,       0
    17,     P-234,   2017/01/26 22:03:34,           1-59,      16,       -29.640,      -236.419,         17658,       0,    1,                                        ,                                        ,                 H2O, 1485493717.94,         0.190,         0.404,        44.833,        -0.000,         0.003,         1.070,        77.873,        35.217,         0.917,        56.933,         0.862,        -0.677,        0.0000,        0.0000,    0,        44.438,         1,      59,       2, DGK Test1,       0
    18,     P-234,   2017/01/26 22:12:29,           1-59,      17,       -29.606,      -236.417,         17753,       0,    1,                                        ,                                        ,                 H2O, 1485494253.39,         0.189,         0.426,        44.176,        -0.000,         0.002,         1.051,        78.515,        35.006,         0.924,        57.484,         0.864,        -0.786,       -0.0000,       -0.0000,    0,        44.500,         1,      59,       2, DGK Test1,       0
    19,     P-234,   2017/01/26 22:21:25,           1-59,      18,       -29.657,      -236.529,         17458,       0,    1,                                        ,                                        ,                 H2O, 1485494789.00,         0.192,         0.421,        44.294,        -0.001,         0.002,         1.062,        76.936,        34.804,         0.912,        55.803,         0.863,        -0.749,        0.0000,        0.0000,    0,        44.375,         1,      59,       2, DGK Test1,       0
    20,     P-234,   2017/01/26 22:30:20,           1-59,      19,       -29.600,      -236.492,         17706,       0,    1,                                        ,                                        ,                 H2O, 1485495325.05,         0.181,         0.432,        44.588,        -0.000,         0.002,         1.070,        78.293,        35.551,         0.909,        55.394,         0.862,        -0.937,       -0.0000,       -0.0000,    0,        44.375,         1,      59,       2, DGK Test1,       0
    21,     P-234,   2017/01/26 22:39:15,           1-59,      20,       -29.649,      -236.459,         17654,       0,    1,                                        ,                                        ,                 H2O, 1485495860.11,         0.179,         0.386,        45.367,        -0.000,         0.003,         1.088,        77.677,        35.335,         0.947,        57.489,         0.862,        -0.509,       -0.0000,       -0.0000,    0,        44.375,         1,      59,       2, DGK Test1,       0
    22,     P-235,   2017/01/26 22:48:51,           1-01,       1,       -20.875,      -165.956,         17892,      -1,    1,                                        ,                                        ,                 H2O, 1485496436.40,         0.185,         0.360,        45.022,        -0.001,        -0.000,         1.073,        79.277,        35.207,         0.949,        58.444,         0.862,        -0.848,        0.0000,        0.0000,    0,        44.312,         1,       1,       3, DGK Test1,       0
    23,     P-235,   2017/01/26 22:57:48,           1-01,       2,       -20.806,      -163.460,         17423,      -1,    1,                                        ,                                        ,                 H2O, 1485496974.20,         0.191,         0.395,        42.842,        -0.001,        -0.002,         1.028,        76.835,        34.464,         0.931,        56.827,         0.861,        -0.770,       -0.0000,       -0.0000,    0,        44.312,         1,       1,       3, DGK Test1,       0
    24,     P-235,   2017/01/26 23:06:46,           1-01,       3,       -20.721,      -162.631,         17864,      -1,    1,                                        ,                                        ,                 H2O, 1485497510.84,         0.183,         0.436,        44.136,        -0.001,        -0.002,         1.046,        79.132,        35.141,         0.980,        58.533,         0.862,        -0.915,        0.0000,        0.0000,    0,        44.312,         1,       1,       3, DGK Test1,       0
    25,     P-235,   2017/01/26 23:15:42,           1-01,       4,       -20.748,      -162.433,         17503,       0,    1,                                        ,                                        ,                 H2O, 1485498047.82,         0.198,         0.431,        43.917,        -0.001,        -0.001,         1.053,        77.160,        34.740,         0.945,        57.121,         0.863,        -0.795,        0.0000,        0.0000,    0,        44.312,         1,       1,       3, DGK Test1,       0
    26,     P-235,   2017/01/26 23:24:38,           1-01,       5,       -20.676,      -162.058,         18042,       0,    1,                                        ,                                        ,                 H2O, 1485498583.79,         0.197,         0.386,        44.020,        -0.001,        -0.001,         1.049,        79.958,        35.559,         0.970,        59.371,         0.862,        -0.798,       -0.0000,       -0.0000,    0,        44.188,         1,       1,       3, DGK Test1,       0
    27,     P-235,   2017/01/26 23:33:35,           1-01,       6,       -20.708,      -162.099,         17508,       0,    1,                                        ,                                        ,                 H2O, 1485499120.94,         0.194,         0.406,        43.450,        -0.001,        -0.002,         1.041,        77.181,        34.843,         0.948,        56.956,         0.863,        -0.905,       -0.0000,       -0.0000,    0,        44.125,         1,       1,       3, DGK Test1,       0
    28,     P-235,   2017/01/26 23:42:32,           1-01,       7,       -20.691,      -161.847,         17995,       0,    1,                                        ,                                        ,                 H2O, 1485499657.77,         0.200,         0.380,        44.131,        -0.001,        -0.000,         1.057,        79.636,        35.730,         0.977,        59.128,         0.863,        -0.844,        0.0000,        0.0000,    0,        44.125,         1,       1,       3, DGK Test1,       0
    29,     P-235,   2017/01/26 23:51:29,           1-01,       8,       -20.664,      -161.848,         17660,       0,    1,                                        ,                                        ,                 H2O, 1485500195.14,         0.191,         0.407,        43.335,         0.000,        -0.001,         1.033,        78.106,        34.956,         0.942,        57.169,         0.862,        -1.007,       -0.0000,       -0.0000,    0,        44.125,         1,       1,       3, DGK Test1,       0
    30,     P-235,   2017/01/27 00:00:25,           1-01,       9,       -20.719,      -161.779,         17628,       0,    1,                                        ,                                        ,                 H2O, 1485500731.17,         0.183,         0.376,        44.738,        -0.001,         0.000,         1.072,        77.660,        35.080,         0.951,        58.071,         0.863,        -0.690,       -0.0000,       -0.0000,    0,        44.062,         1,       1,       3, DGK Test1,       0
    31,     P-235,   2017/01/27 00:09:23,           1-01,      10,       -20.676,      -161.632,         17639,       0,    1,                                        ,                                        ,                 H2O, 1485501268.67,         0.184,         0.380,        43.891,        -0.000,        -0.001,         1.052,        77.554,        35.337,         0.953,        58.068,         0.863,        -0.642,       -0.0000,       -0.0000,    0,        44.125,         1,       1,       3, DGK Test1,       0
    32,     P-236,   2017/01/27 00:18:59,           1-02,       1,        -0.287,       -10.728,         17784,      -1,    1,                                        ,                                        ,                 H2O, 1485501844.66,         0.195,         0.495,        45.632,        -0.001,        -0.007,         1.094,        78.885,        34.523,         1.003,        60.160,         0.862,        -1.058,       -0.0000,       -0.0000,    0,        44.125,         1,       2,       3, DGK Test1,       0
    33,     P-236,   2017/01/27 00:27:56,           1-02,       2,         0.023,        -4.911,         17427,      -1,    1,                                        ,                                        ,                 H2O, 1485502381.69,         0.186,         0.583,        44.110,        -0.001,        -0.010,         1.056,        76.677,        34.213,         1.024,        60.151,         0.863,        -0.780,       -0.0000,       -0.0000,    0,        44.125,         1,       2,       3, DGK Test1,       0
    34,     P-236,   2017/01/27 00:36:53,           1-02,       3,         0.114,        -3.431,         17954,      -1,    1,                                        ,                                        ,                 H2O, 1485502918.06,         0.219,         0.578,        44.139,        -0.001,        -0.009,         1.051,        79.579,        35.093,         1.015,        61.273,         0.863,        -0.986,       -0.0000,       -0.0000,    0,        44.062,         1,       2,       3, DGK Test1,       0
    35,     P-236,   2017/01/27 00:45:50,           1-02,       4,         0.183,        -2.628,         17372,       0,    1,                                        ,                                        ,                 H2O, 1485503455.69,         0.207,         0.503,        44.211,        -0.001,        -0.006,         1.065,        76.676,        33.855,         1.003,        59.199,         0.863,        -1.056,       -0.0000,       -0.0000,    0,        44.062,         1,       2,       3, DGK Test1,       0
