  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,     P-444,   2018/09/13 16:40:29,         Ink-01,       1,       -15.311,      -119.635,         17715,      -1,    1,                                        ,                                        ,                 H2O, 1536878735.35,         0.189,         0.379,        90.540,        -0.000,         0.001,         2.115,        81.511,        34.999,         0.962,        59.334,         0.867,        -0.672,       -0.0000,       -0.0000,    0,        43.562,       Ink,       1,       1,  DGK_norm,       0
     2,     P-444,   2018/09/13 16:49:23,         Ink-01,       2,       -15.209,      -118.698,         17797,      -1,    1,                                        ,                                        ,                 H2O, 1536879269.15,         0.200,         0.409,        87.707,        -0.001,        -0.000,         2.044,        81.648,        35.134,         0.952,        59.537,         0.868,        -0.706,       -0.0000,       -0.0000,    0,        43.312,       Ink,       1,       1,  DGK_norm,       0
     3,     P-444,   2018/09/13 16:58:17,         Ink-01,       3,       -15.225,      -118.643,         17435,      -1,    1,                                        ,                                        ,                 H2O, 1536879802.31,         0.190,         0.413,        86.186,        -0.001,        -0.001,         2.014,        79.597,        34.540,         0.951,        58.309,         0.867,        -0.639,       -0.0000,       -0.0000,    0,        43.375,       Ink,       1,       1,  DGK_norm,       0
     4,     P-444,   2018/09/13 17:07:10,         Ink-01,       4,       -15.192,      -118.530,         17823,       0,    1,                                        ,                                        ,                 H2O, 1536880336.05,         0.191,         0.384,        90.477,        -0.001,        -0.002,         2.117,        81.784,        35.045,         0.954,        59.160,         0.868,        -0.833,       -0.0000,       -0.0000,    0,        43.312,       Ink,       1,       1,  DGK_norm,       0
     5,     P-444,   2018/09/13 17:16:03,         Ink-01,       5,       -15.235,      -118.590,         17619,       0,    1,                                        ,                                        ,                 H2O, 1536880868.89,         0.187,         0.403,        87.973,        -0.000,        -0.001,         2.065,        80.577,        34.661,         0.951,        59.111,         0.867,        -0.675,       -0.0000,       -0.0000,    0,        43.125,       Ink,       1,       1,  DGK_norm,       0
     6,     P-444,   2018/09/13 17:24:57,         Ink-01,       6,       -15.214,      -118.547,         17545,       0,    1,                                        ,                                        ,                 H2O, 1536881402.70,         0.196,         0.388,        86.719,        -0.000,         0.000,         2.029,        79.231,        36.706,         0.955,        57.001,         0.866,        -0.433,       -0.0000,       -0.0000,    0,        43.062,       Ink,       1,       1,  DGK_norm,       0
     7,     P-444,   2018/09/13 17:33:49,         Ink-01,       7,       -15.264,      -118.584,         17295,       0,    1,                                        ,                                        ,                 H2O, 1536881934.99,         0.199,         0.357,        84.668,        -0.001,        -0.000,         1.990,        77.273,        37.214,         0.944,        56.367,         0.866,        -0.227,       -0.0000,       -0.0000,    0,        43.000,       Ink,       1,       1,  DGK_norm,       0
     8,     P-444,   2018/09/13 17:42:43,         Ink-01,       8,       -15.232,      -118.518,         17594,       0,    1,                                        ,                                        ,                 H2O, 1536882468.22,         0.194,         0.399,        83.751,        -0.001,         0.001,         1.965,        78.452,        38.556,         0.977,        57.178,         0.868,         0.019,       -0.0000,       -0.0000,    0,        42.938,       Ink,       1,       1,  DGK_norm,       0
     9,     P-444,   2018/09/13 17:51:36,         Ink-01,       9,       -15.185,      -118.333,         17754,       0,    1,                                        ,                                        ,                 H2O, 1536883001.38,         0.187,         0.365,        84.072,        -0.001,         0.001,         1.982,        79.040,        39.124,         0.993,        58.064,         0.868,         0.107,       -0.0000,       -0.0000,    0,        42.875,       Ink,       1,       1,  DGK_norm,       0
    10,     P-444,   2018/09/13 18:00:28,         Ink-01,      10,       -15.220,      -118.480,         17299,       0,    1,                                        ,                                        ,                 H2O, 1536883533.63,         0.186,         0.358,        83.254,        -0.001,         0.000,         1.952,        76.919,        38.206,         0.925,        55.188,         0.867,        -0.133,       -0.0000,       -0.0000,    0,        43.312,       Ink,       1,       1,  DGK_norm,       0
    11,     P-444,   2018/09/13 18:09:22,         Ink-01,      11,       -15.203,      -118.402,         17254,       0,    1,                                        ,                                        ,                 H2O, 1536884067.24,         0.193,         0.412,        82.087,        -0.000,        -0.001,         1.941,        76.630,        38.306,         0.935,        54.392,         0.865,        -0.139,        0.0000,        0.0000,    0,        43.562,       Ink,       1,       1,  DGK_norm,       0
    12,     P-444,   2018/09/13 18:18:14,         Ink-01,      12,       -15.221,      -118.482,         17446,       0,    1,                                        ,                                        ,                 H2O, 1536884600.00,         0.168,         0.388,        82.411,        -0.001,        -0.001,         1.936,        77.681,        38.605,         0.937,        55.159,         0.866,        -0.219,       -0.0000,       -0.0000,    0,        43.812,       Ink,       1,       1,  DGK_norm,       0
    13,     P-444,   2018/09/13 18:27:07,         Ink-01,      13,       -15.205,      -118.485,         17323,       0,    1,                                        ,                                        ,                 H2O, 1536885133.10,         0.184,         0.419,        81.294,        -0.002,        -0.000,         1.916,        77.118,        38.087,         0.894,        54.997,         0.864,        -0.246,       -0.0000,       -0.0000,    0,        43.750,       Ink,       1,       1,  DGK_norm,       0
    14,     P-444,   2018/09/13 18:36:01,         Ink-01,      14,       -15.176,      -118.333,         17841,       0,    1,                                        ,                                        ,                 H2O, 1536885667.26,         0.196,         0.395,        81.378,        -0.001,        -0.000,         1.911,        79.641,        39.229,         0.969,        57.320,         0.866,        -0.138,       -0.0000,       -0.0000,    0,        43.812,       Ink,       1,       1,  DGK_norm,       0
    15,     P-444,   2018/09/13 18:44:54,         Ink-01,      15,       -15.210,      -118.428,         17607,       0,    1,                                        ,                                        ,                 H2O, 1536886199.90,         0.190,         0.411,        80.746,        -0.001,        -0.002,         1.910,        78.531,        38.619,         0.955,        56.329,         0.867,        -0.168,        0.0000,        0.0000,    0,        43.812,       Ink,       1,       1,  DGK_norm,       0
    16,     P-444,   2018/09/13 18:53:47,         Ink-01,      16,       -15.193,      -118.404,         17811,       0,    1,                                        ,                                        ,                 H2O, 1536886733.17,         0.206,         0.388,        83.194,        -0.001,         0.001,         1.969,        79.361,        38.883,         1.014,        58.732,         0.866,         0.102,        0.0000,        0.0000,    0,        43.875,       Ink,       1,       1,  DGK_norm,       0
    17,     P-444,   2018/09/13 19:02:41,         Ink-01,      17,       -15.211,      -118.382,         17801,       0,    1,                                        ,                                        ,                 H2O, 1536887266.44,         0.214,         0.364,        76.384,        -0.001,         0.002,         1.802,        79.315,        39.258,         0.985,        57.256,         0.866,        -0.047,       -0.0000,       -0.0000,    0,        43.875,       Ink,       1,       1,  DGK_norm,       0
    18,     P-444,   2018/09/13 19:11:34,         Ink-01,      18,       -15.167,      -118.378,         17755,       0,    1,                                        ,                                        ,                 H2O, 1536887800.41,         0.208,         0.393,        78.878,        -0.001,         0.001,         1.860,        79.161,        39.036,         0.960,        56.879,         0.866,        -0.129,       -0.0000,       -0.0000,    0,        43.938,       Ink,       1,       1,  DGK_norm,       0
    19,     P-444,   2018/09/13 19:20:28,         Ink-01,      19,       -15.158,      -118.407,         17649,       0,    1,                                        ,                                        ,                 H2O, 1536888334.03,         0.209,         0.439,        74.886,        -0.001,         0.001,         1.767,        78.512,        39.006,         0.961,        56.813,         0.867,        -0.112,        0.0000,        0.0000,    0,        44.062,       Ink,       1,       1,  DGK_norm,       0
    20,     P-444,   2018/09/13 19:29:21,         Ink-01,      20,       -15.135,      -118.364,         17960,       0,    1,                                        ,                                        ,                 H2O, 1536888867.32,         0.191,         0.379,        75.230,        -0.001,         0.002,         1.780,        80.179,        39.403,         0.978,        58.093,         0.866,        -0.064,        0.0000,        0.0000,    0,        44.125,       Ink,       1,       1,  DGK_norm,       0
    21,     P-444,   2018/09/13 19:38:15,         Ink-01,      21,       -15.197,      -118.367,         17731,       0,    1,                                        ,                                        ,                 H2O, 1536889400.26,         0.194,         0.410,        75.599,        -0.001,        -0.000,         1.784,        78.945,        39.218,         0.966,        56.562,         0.865,        -0.053,        0.0000,        0.0000,    0,        44.188,       Ink,       1,       1,  DGK_norm,       0
    22,     P-444,   2018/09/13 19:47:08,         Ink-01,      22,       -15.204,      -118.382,         17689,       0,    1,                                        ,                                        ,                 H2O, 1536889934.10,         0.195,         0.415,        75.911,        -0.001,        -0.001,         1.789,        78.627,        38.823,         0.978,        58.032,         0.865,         0.108,       -0.0000,       -0.0000,    0,        44.000,       Ink,       1,       1,  DGK_norm,       0
    23,     P-444,   2018/09/13 19:56:02,         Ink-01,      23,       -15.198,      -118.357,         17766,       0,    1,                                        ,                                        ,                 H2O, 1536890467.64,         0.195,         0.391,        76.270,        -0.000,        -0.000,         1.801,        78.998,        38.854,         1.006,        58.580,         0.865,         0.179,       -0.0000,       -0.0000,    0,        43.938,       Ink,       1,       1,  DGK_norm,       0
    24,     P-444,   2018/09/13 20:04:56,         Ink-01,      24,       -15.183,      -118.345,         18108,       0,    1,                                        ,                                        ,                 H2O, 1536891001.28,         0.199,         0.380,        76.922,        -0.001,        -0.000,         1.825,        80.621,        39.879,         1.020,        59.477,         0.867,         0.135,       -0.0000,       -0.0000,    0,        43.750,       Ink,       1,       1,  DGK_norm,       0
    25,     P-444,   2018/09/13 20:13:49,         Ink-01,      25,       -15.203,      -118.419,         17510,       0,    1,                                        ,                                        ,                 H2O, 1536891534.75,         0.196,         0.389,        74.456,        -0.000,        -0.000,         1.758,        77.775,        38.538,         0.963,        56.501,         0.865,        -0.024,        0.0000,        0.0000,    0,        43.812,       Ink,       1,       1,  DGK_norm,       0
    26,     P-444,   2018/09/13 20:22:43,         Ink-01,      26,       -15.145,      -118.285,         18059,       0,    1,                                        ,                                        ,                 H2O, 1536892068.41,         0.192,         0.386,        76.334,        -0.000,         0.000,         1.801,        80.779,        39.637,         0.977,        57.453,         0.866,        -0.189,       -0.0000,       -0.0000,    0,        43.812,       Ink,       1,       1,  DGK_norm,       0
    27,     P-444,   2018/09/13 20:31:36,         Ink-01,      27,       -15.197,      -118.435,         17743,       0,    1,                                        ,                                        ,                 H2O, 1536892602.18,         0.180,         0.386,        76.054,        -0.000,        -0.001,         1.797,        79.132,        38.873,         0.945,        56.807,         0.866,        -0.194,       -0.0000,       -0.0000,    0,        43.750,       Ink,       1,       1,  DGK_norm,       0
    28,     P-444,   2018/09/13 20:40:30,         Ink-01,      28,       -15.179,      -118.400,         17603,       0,    1,                                        ,                                        ,                 H2O, 1536893135.62,         0.213,         0.372,        75.512,        -0.001,        -0.000,         1.793,        78.339,        38.382,         0.970,        57.287,         0.865,         0.029,       -0.0000,       -0.0000,    0,        43.688,       Ink,       1,       1,  DGK_norm,       0
    29,     P-444,   2018/09/13 20:49:24,         Ink-01,      29,       -15.166,      -118.366,         17990,       0,    1,                                        ,                                        ,                 H2O, 1536893668.82,         0.219,         0.410,        76.213,        -0.001,        -0.000,         1.798,        80.227,        39.582,         0.982,        57.940,         0.866,        -0.057,       -0.0000,       -0.0000,    0,        43.625,       Ink,       1,       1,  DGK_norm,       0
    30,     P-444,   2018/09/13 20:58:16,         Ink-01,      30,       -15.148,      -118.222,         18098,       0,    1,                                        ,                                        ,                 H2O, 1536894201.54,         0.193,         0.433,        71.101,        -0.000,        -0.001,         1.689,        80.811,        39.773,         0.981,        58.115,         0.865,        -0.013,       -0.0000,       -0.0000,    0,        43.562,       Ink,       1,       1,  DGK_norm,       0
    31,     P-444,   2018/09/13 21:07:09,         Ink-01,      31,       -15.158,      -118.344,         17893,       0,    1,                                        ,                                        ,                 H2O, 1536894734.36,         0.188,         0.377,        69.385,        -0.000,        -0.001,         1.647,        79.657,        39.506,         0.972,        57.505,         0.865,        -0.049,       -0.0000,       -0.0000,    0,        43.625,       Ink,       1,       1,  DGK_norm,       0
    32,     P-444,   2018/09/13 21:16:03,         Ink-01,      32,       -15.174,      -118.452,         17671,       0,    1,                                        ,                                        ,                 H2O, 1536895268.05,         0.176,         0.402,        73.499,        -0.001,         0.000,         1.740,        78.619,        39.180,         0.966,        55.704,         0.866,        -0.225,        0.0000,        0.0000,    0,        43.500,       Ink,       1,       1,  DGK_norm,       0
    33,     P-444,   2018/09/13 21:24:56,         Ink-01,      33,       -15.148,      -118.332,         18080,       0,    1,                                        ,                                        ,                 H2O, 1536895801.85,         0.200,         0.412,        73.142,        -0.001,         0.001,         1.732,        80.937,        39.687,         0.944,        56.833,         0.866,        -0.341,        0.0000,        0.0000,    0,        43.375,       Ink,       1,       1,  DGK_norm,       0
    34,     P-444,   2018/09/13 21:33:49,         Ink-01,      34,       -15.154,      -118.369,         17823,       0,    1,                                        ,                                        ,                 H2O, 1536896334.74,         0.189,         0.420,        74.803,        -0.001,         0.001,         1.769,        79.458,        39.055,         0.976,        57.361,         0.865,        -0.142,       -0.0000,       -0.0000,    0,        43.375,       Ink,       1,       1,  DGK_norm,       0
    35,     P-444,   2018/09/13 21:42:42,         Ink-01,      35,       -15.159,      -118.330,         17663,       0,    1,                                        ,                                        ,                 H2O, 1536896868.25,         0.189,         0.358,        68.236,        -0.001,         0.001,         1.622,        78.475,        38.866,         0.945,        56.977,         0.865,        -0.094,       -0.0000,       -0.0000,    0,        43.250,       Ink,       1,       1,  DGK_norm,       0
    36,     P-444,   2018/09/13 21:51:36,         Ink-01,      36,       -15.164,      -118.359,         17794,       0,    1,                                        ,                                        ,                 H2O, 1536897401.83,         0.195,         0.376,        68.207,        -0.000,         0.001,         1.618,        79.295,        38.823,         0.997,        57.485,         0.865,        -0.093,       -0.0000,       -0.0000,    0,        43.250,       Ink,       1,       1,  DGK_norm,       0
    37,     P-444,   2018/09/13 22:00:30,         Ink-01,      37,       -15.150,      -118.338,         17920,       0,    1,                                        ,                                        ,                 H2O, 1536897935.45,         0.177,         0.381,        68.010,        -0.001,        -0.000,         1.615,        79.953,        39.546,         0.948,        56.486,         0.866,        -0.209,       -0.0000,       -0.0000,    0,        43.062,       Ink,       1,       1,  DGK_norm,       0
    38,     P-444,   2018/09/13 22:09:23,         Ink-01,      38,       -15.179,      -118.439,         17705,       0,    1,                                        ,                                        ,                 H2O, 1536898468.30,         0.171,         0.410,        67.606,        -0.001,        -0.002,         1.607,        78.557,        39.135,         0.972,        57.302,         0.866,        -0.070,       -0.0000,       -0.0000,    0,        42.500,       Ink,       1,       1,  DGK_norm,       0
    39,     P-444,   2018/09/13 22:18:15,         Ink-01,      39,       -15.152,      -118.302,         18230,       0,    1,                                        ,                                        ,                 H2O, 1536899000.92,         0.188,         0.386,        70.356,        -0.001,         0.002,         1.677,        81.346,        40.185,         0.995,        58.718,         0.867,         0.002,       -0.0000,       -0.0000,    0,        42.250,       Ink,       1,       1,  DGK_norm,       0
    40,     P-444,   2018/09/13 22:27:09,         Ink-01,      40,       -15.175,      -118.308,         17752,       0,    1,                                        ,                                        ,                 H2O, 1536899534.32,         0.199,         0.418,        70.695,        -0.001,         0.000,         1.678,        78.902,        38.804,         0.988,        58.111,         0.865,         0.107,       -0.0000,       -0.0000,    0,        42.250,       Ink,       1,       1,  DGK_norm,       0
    41,     P-444,   2018/09/13 22:36:02,         Ink-01,      41,       -15.138,      -118.327,         18159,       0,    1,                                        ,                                        ,                 H2O, 1536900067.99,         0.199,         0.413,        67.373,        -0.001,         0.000,         1.601,        81.016,        39.804,         1.010,        58.890,         0.865,        -0.015,       -0.0000,       -0.0000,    0,        42.250,       Ink,       1,       1,  DGK_norm,       0
